machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;2147
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;17282
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;23051
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;208390
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3091089
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;667
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;4495
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;32833
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;223218
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3222367
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;702
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;12617
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;27720
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;213439
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;870
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;6154
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;26324
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;227899
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;640
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;3830
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;24373
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;211474
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;679
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;7724
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;22312
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;207407
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;1097
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;4236
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;44197
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;210479
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;591
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;4654
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;27857
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;210313
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;605
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;3740
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;22205
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;215575
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;833
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;17795
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;39217
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;222253
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;853
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;4775
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;24384
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;246290
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;4313
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;13621
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;25464
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;234683
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3652979
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;1419
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;15167
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;42203
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;231412
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;4235513
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;644
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;18692
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;26077
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;239459
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3653676
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;2265
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;17099
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;37163
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;292743
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3235714
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;696
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;15393
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;36748
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;225666
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3591317
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;585
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;8637
